,recommend_sentence,annotation,labels,type,WrongTime
146,Have you seen Girls Trip (2017),1,3,experience_inquiry,10
332,Maybe you would like Highlander: Endgame (2000)?,1,8,preference_confirmation,10
504,can i help yo,1,12,transparency,10
563,Thanks!,1,0,acknowledgment,10
668,Have you ever seen The Conjuring (2013),1,3,experience_inquiry,10
757,do you like that kind of movies?,1,5,opinion_inquiry,10
1021,Woudl you like any other suggestions?,1,12,transparency,10
1023,Can I help you find a movie?,1,12,transparency,10
1043,do you need some movie to watch tonight?,1,12,transparency,10
29,Great! Goodbye.,1,0,acknowledgment,9
34,You're welcome!,1,0,acknowledgment,9
47,Those movies are made by Adan Sandler even though Click  (2006) is better than the another one,1,1,credibility,9
49,Chris Rock. He dies by accident and comes back in someone else body.,1,1,credibility,9
50,It's a love story about two young people who meet in the summer and they fall in love and they have to part ways for a long time but end up meeting agian,1,1,credibility,9
65,The House  (2017) was a good Will Ferrell movie from last year.,1,1,credibility,9
114,Hello! Have you seen either of these? Avengers: Infinity War (2018)  or Thor ,1,3,experience_inquiry,9
120,Have you seen 21 Jump Street  (2012) or any of the The Hangover (2009) movies?,1,3,experience_inquiry,9
129,ok have you seen Seabiscuit  (2003),1,3,experience_inquiry,9
130,Have you seen Talladega Nights: The Ballad of Ricky Bobby (2006) or The Hangover (2009) ?,1,3,experience_inquiry,9
135,"Yeah, I liked the first one, Deadpool  (2016) Did you see that one?",1,3,experience_inquiry,9
138,Well have you seen The Avengers  (2012) ?,1,3,experience_inquiry,9
143,Have you seen Lethal Weapon (1987),1,3,experience_inquiry,9
502,Hey there. I'm doing well. Can I recommend a movie for you?,1,12,transparency,9
503,Hey there. Can I recommend something to watch?,1,12,transparency,9
532,what can I help you fiind tonight?,1,12,transparency,9
557,lol,1,0,acknowledgment,9
598,It's based on 1970's in New York,1,1,credibility,9
680,"Hi there.  I would like to suggest some comedies you could watch, have you seen The Wedding Singer (1998) ?",1,3,experience_inquiry,9
1026,Would you like some more suggestions?,1,12,transparency,9
1030,Need help finding a good movie?,1,12,transparency,9
1039,Looking for any good movies?,1,12,transparency,9
1040,Hello there. Looking for some good movies?,1,12,transparency,9
20,your very welcome!,1,0,acknowledgment,8
26,"Awesome, see you later.",1,0,acknowledgment,8
38,yes of course,1,0,acknowledgment,8
63,"Its about a guy who wants to be with this girl, but in order to do so he must fight her 7 exes. And then he meets them and fights them like, pokemon style, or mortal combat style",1,1,credibility,8
69,It's a Will Ferrell comedy.,1,1,credibility,8
108,Have you seen Jack Reacher  (2012) ?,1,3,experience_inquiry,8
112,Have you seen the new Avengers? Avengers: Infinity War (2018),1,3,experience_inquiry,8
494,What kind of movies can I help you with tonight?,1,12,transparency,8
498,Hello!  Can I help you find a movie?,1,12,transparency,8
519,Hey there! Can I recommend a good horror movie for you?,1,12,transparency,8
520,Want any more recommendations?,1,12,transparency,8
528,Hi I'm good. Are you looking for a movie?,1,12,transparency,8
531,Hi - need a good movie reco?,1,12,transparency,8
545,okay thanks!,1,0,acknowledgment,8
597,"It has Drew Barrymore and Adam Sandler starring, it's a romantic comedy so you would like it",1,1,credibility,8
656,"So, did you watch It  (2017) ?",1,3,experience_inquiry,8
658,and did you watch The Exorcist  (1973) ?,1,3,experience_inquiry,8
662,And did you watch The Last Exorcism (2010) ?,1,3,experience_inquiry,8
671,have you ever seen The Conjuring (2013) ?,1,3,experience_inquiry,8
683,Have you seen the movie The Godfather (1972),1,3,experience_inquiry,8
1035,I am trying to find a movie for my kid any suggestions?,1,12,transparency,8
1036,Hi. How can I help you today?,1,12,transparency,8
1041,Hey there. I am well. Are you looking for a good movie?,1,12,transparency,8
1056,Looking for some good movies?,1,12,transparency,8
1061,Looking for any movie recommendations?,1,12,transparency,8
45,Hey there!,1,0,acknowledgment,7
113,Have you seeen Blockers (2018) ?,1,3,experience_inquiry,7
117,have you seen American Pie  (1999) ?,1,3,experience_inquiry,7
118,have you ever seen Monster  (2003) with Charlize Theron?,1,3,experience_inquiry,7
128,Have you seen Fifty Shades of Grey  (2015),1,3,experience_inquiry,7
514,Good morning. Have any plans for the weekend?,1,12,transparency,7
515,Are you looking for a movie to watch today?,1,12,transparency,7
529,do you mind if I ask you some questions first?,1,12,transparency,7
537,May I suggest a movie for you?,1,12,transparency,7
669,have you seen that at all?,1,3,experience_inquiry,7
676,have you ever seen You Don't Mess with the Zohan (2008) ?,1,3,experience_inquiry,7
681,"Hello, there is a movie that I have always enjoyed and I'm not sure what you would call the genre but the movie is Donnie Darko (2001)  have you ever seen this one?",1,3,experience_inquiry,7
688,"There's Something About Mary (1998) ething About Mary is a great movie, very funny. Have you seen The Wedding Singer (1998) ?",1,3,experience_inquiry,7
690,Have you seen Avengers: Age of Ultron (2015),1,3,experience_inquiry,7
696,Have you seen Kill Bill?,1,3,experience_inquiry,7
1019,Is there anything else I could assist with today?,1,12,transparency,7
1024,Can I help you find a good movie tonight?,1,12,transparency,7
1025,Was I able to help you tonight?,1,12,transparency,7
1032,Hello Im so bored can you help with a good movie,1,12,transparency,7
109,"Ok, have you seen Get Out (2017) ?",1,3,experience_inquiry,6
119,What was the last movie you saw?,1,3,experience_inquiry,6
606,"It is a drama, but it has some romance in it too.",1,1,credibility,6
652,Have you seen The Avengers  (2012),1,3,experience_inquiry,6
678,Have you ever seen Scary Movie (2000) ?,1,3,experience_inquiry,6
692,That's great it's a great movies. Have you seen Tomb Raider (2018),1,3,experience_inquiry,6
1044,You have plans tonight?,1,12,transparency,6
1057,Great. Thanks. Looking for any good movies?,1,12,transparency,6
115,Have you seen Batman  (1989),1,3,experience_inquiry,5
125,Did you see that new Will Ferrel movie The House  (2017) ?,1,3,experience_inquiry,5
542,"No problem! Thank you, too! :)",1,0,acknowledgment,5
673,"Hello, have you seen the new IT movie?",1,3,experience_inquiry,5
1063,Hey there. could I recommend a movie for you?,1,12,transparency,5
126,Have you seen Little Miss Sunshine (2006) ?,1,3,experience_inquiry,4
132,Have you watched Deadpool  (2016) the first one?,1,3,experience_inquiry,4
139,Have you seen the new movies Avengers: Infinity War (2018) or Isle Of Dogs (2018) ?,1,3,experience_inquiry,4
697,Have you seen both of those movies?,1,3,experience_inquiry,3
675,have you ever seen Click  (2006) ?,1,3,experience_inquiry,2
5,Good Night,1,0,acknowledgment,0
9,Yes!,1,0,acknowledgment,0
12,Hello,1,0,acknowledgment,0
15,Goodbye!,1,0,acknowledgment,0
19,Hello,1,0,acknowledgment,0
23,Hello,1,0,acknowledgment,0
24,hello,1,0,acknowledgment,0
27,You're welcome.,1,0,acknowledgment,0
30,Hello,1,0,acknowledgment,0
31,Yes I have,1,0,acknowledgment,0
40,hello,1,0,acknowledgment,0
41,hello,1,0,acknowledgment,0
43,hello,1,0,acknowledgment,0
44,good bye,1,0,acknowledgment,0
55,"No, Bruce Willis!",1,1,credibility,0
58,"Seth Rogan is in it, Danny McBride",1,1,credibility,0
68,Yes. Hot Fuzz (2007) is a VERY clever action/comedy.,1,1,credibility,0
75,"No problem, enjoy and goodbye",1,2,encouragement,0
105,Have you seen Kiss Kiss Bang Bang (2005),1,3,experience_inquiry,0
106,Have you seen Avengers: Infinity War (2018),1,3,experience_inquiry,0
111,He probably would.  How about I Know What You Did Last Summer (1997)  or Scream  (1996),1,3,experience_inquiry,0
121,Have you seen Avengers: Infinity War (2018),1,3,experience_inquiry,0
124,Have you seen Talladega Nights: The Ballad of Ricky Bobby (2006)  or The Hangover (2009) ?,1,3,experience_inquiry,0
127,Have you seen Me Before You  ?,1,3,experience_inquiry,0
136,Have you watched Ant-Man  (2015) ?,1,3,experience_inquiry,0
145,What about Spider-Man: Homecoming (2017),1,3,experience_inquiry,0
147,Have you seen Avengers: Infinity War (2018),1,3,experience_inquiry,0
209,What kind of movies do you like?,1,5,opinion_inquiry,0
218,What genre of movie do you like?,1,5,opinion_inquiry,0
223,What kind of movies would you like to watch?,1,5,opinion_inquiry,0
224,What kind of movies would you like to watch?,1,5,opinion_inquiry,0
227,what kind of movies would you like to watch?,1,5,opinion_inquiry,0
237,No I haven't.,1,6,personal_experience,0
240,Haven‚Äôt seen that one,1,6,personal_experience,0
264,No I havent.,1,6,personal_experience,0
275,"I have seen ""The Good",1,6,personal_experience,0
315,I love X-Men  (2000),1,7,personal_opinion,0
328,Or maybe Sex and Zen (1991) ?,1,8,preference_confirmation,0
333,Or DodgeBall: A True Underdog Story (2004) ?,1,8,preference_confirmation,0
334,Or Truth or Dare  (2013) ?,1,8,preference_confirmation,0
335,Or maybe Avengers: Infinity War (2018) ?,1,8,preference_confirmation,0
338,Or Arrival  (2016) ?,1,8,preference_confirmation,0
340,Can I recommend This Is the End (2013) ?,1,8,preference_confirmation,0
344,Or Super Troopers 2 (2018) ?,1,8,preference_confirmation,0
353,Or maybe Noah  (2014) ?,1,8,preference_confirmation,0
355,Or Zack and Miri Make a Porno (2008) ?,1,8,preference_confirmation,0
359,Or It  (2017) ?!,1,8,preference_confirmation,0
408,or maybe you are into more slick comedy like Fifty Shades of Black (2016),1,9,rephrase_preference,0
423,I want to see the new Ant-Man and the Wasp (2018),1,10,self_modeling,0
442,I want to see the new Ant-Man and the Wasp (2018),1,10,self_modeling,0
444,"Haven‚Äôt seen Rear Window, perhaps I‚Äôll check it out",1,10,self_modeling,0
476,Me too!!! I‚Äôm excited to watch it !,1,11,similarity,0
490,Need some good movie?,1,12,transparency,0
496,Are you looking for a good movie to watch?,1,12,transparency,0
507,can i help you,1,12,transparency,0
508,can i help you,1,12,transparency,0
509,can i help you  with a movie,1,12,transparency,0
510,can i help you with a movie,1,12,transparency,0
511,can i help you with a movie,1,12,transparency,0
512,can i help you,1,12,transparency,0
522,do you need my help,1,12,transparency,0
525,How can I help you today?,1,12,transparency,0
536,Are you looking for a movie?,1,12,transparency,0
541,Hello!,1,0,acknowledgment,0
543,good bye,1,0,acknowledgment,0
544,Goodbye,1,0,acknowledgment,0
546,bye,1,0,acknowledgment,0
547,good bye,1,0,acknowledgment,0
548,your welcome,1,0,acknowledgment,0
549,good bye,1,0,acknowledgment,0
550,good bye,1,0,acknowledgment,0
551,Hello,1,0,acknowledgment,0
552,Yes,1,0,acknowledgment,0
553,Good bye,1,0,acknowledgment,0
554,hi,1,0,acknowledgment,0
555,Ok,1,0,acknowledgment,0
556,hi,1,0,acknowledgment,0
558,Goodbye,1,0,acknowledgment,0
561,hello,1,0,acknowledgment,0
562,good bye,1,0,acknowledgment,0
564,hello,1,0,acknowledgment,0
568,Bye!,1,0,acknowledgment,0
569,hello,1,0,acknowledgment,0
570,good bye,1,0,acknowledgment,0
573,"Thank you, good bye/",1,0,acknowledgment,0
574,Hello,1,0,acknowledgment,0
576,"Well, i hope i have helped",1,0,acknowledgment,0
577,Good bye,1,0,acknowledgment,0
579,Bye,1,0,acknowledgment,0
580,"Thank you, good bye.",1,0,acknowledgment,0
581,Hi I am good,1,0,acknowledgment,0
585,Bye!,1,0,acknowledgment,0
586,"Thank you, good bye.",1,0,acknowledgment,0
587,hi,1,0,acknowledgment,0
589,Hey,1,0,acknowledgment,0
612,You should try them,1,2,encouragement,0
640,You may like Rush Hour  (1998) .,1,2,encouragement,0
649,Did you watch Avengers: Infinity War (2018) ?,1,3,experience_inquiry,0
650,Did you watch Click  (2006) ?,1,3,experience_inquiry,0
651,Did you watch It  (2017) ?,1,3,experience_inquiry,0
654,have you seen Avengers: Infinity War (2018) ?,1,3,experience_inquiry,0
657,And It (1990) ?,1,3,experience_inquiry,0
659,Did you watch It  (2017) ?,1,3,experience_inquiry,0
660,And It (1990) ?,1,3,experience_inquiry,0
663,Did you watch Click  (2006) ?,1,3,experience_inquiry,0
664,and The Mask (1988) ?,1,3,experience_inquiry,0
666,Did you watch Avengers: Infinity War (2018) ?,1,3,experience_inquiry,0
670,Have you seen Avengers: Infinity War (2018),1,3,experience_inquiry,0
674,Have you seen it?,1,3,experience_inquiry,0
684,Have you seen it,1,3,experience_inquiry,0
687,Have you see The Blues Brothers  (1980) or Rush Hour  (1998) ?,1,3,experience_inquiry,0
693,Have you seen Avengers: Infinity War (2018),1,3,experience_inquiry,0
701,let me think,1,4,offer_help,0
712,Let me think ..,1,4,offer_help,0
717,let me think,1,4,offer_help,0
729,What kind of movies do you like?,1,5,opinion_inquiry,0
735,Tell me what kind of movies do you like?,1,5,opinion_inquiry,0
737,Tell me what kind of movies do you like?,1,5,opinion_inquiry,0
740,What kind of movies do you like?,1,5,opinion_inquiry,0
755,Tell me what kind of movies would you like to watch?,1,5,opinion_inquiry,0
764,"I'm great thanks, What kind of movies do you like?",1,5,opinion_inquiry,0
778,i just watched Avengers: Infinity War (2018),1,6,personal_experience,0
790,i just watched Black Panther (2018)  and i loved it,1,6,personal_experience,0
816,I haven‚Äôt seen it yet,1,6,personal_experience,0
831,i hope i have helped,1,7,personal_opinion,0
870,Tell me what would you like to watch?,1,8,preference_confirmation,0
871,As Man of Steel  (2013) ?,1,8,preference_confirmation,0
881,The Sound of Music  (1965) ?,1,8,preference_confirmation,0
883,Or Sherlock Holmes  (2010) ?,1,8,preference_confirmation,0
886,And Coco  (2017) ?,1,8,preference_confirmation,0
889,Or Beauty and the Beast  (2017) ?,1,8,preference_confirmation,0
892,Maybe 12 Angry Men  (1957) and The Dark Knight  (2008) ?,1,8,preference_confirmation,0
897,So you like action?,1,8,preference_confirmation,0
904,Or Daylight  (1996) ?,1,8,preference_confirmation,0
984,I do!,1,11,similarity,0
987,Me too,1,11,similarity,0
1013,Yes i think so,1,11,similarity,0
1037,Is there anything else I can help you with?,1,12,transparency,0
1046,Looking for a good movie?,1,12,transparency,0
1047,Looking for a good movie?,1,12,transparency,0
1048,Looking for a good movie?,1,12,transparency,0
1051,Hello there. Looking for a good movie?,1,12,transparency,0
1052,Hello there. Looking for a good movie?,1,12,transparency,0
1053,Looking for a good movie?,1,12,transparency,0
1055,I‚Äôm well. Looking for a good movie?,1,12,transparency,0
1062,"Hey there, can I recommend a movie for you?",1,12,transparency,0
1064,Hey there. Can I recommend a movie for you?,1,12,transparency,0
