Input Text Part 1,Input Text Part 2,Ground Truth Label,Model Prediction
do you like scary,do you think you'd like the new jurassic world ( 2015 )?,1,1
"grand hotel ( 1932 ) is another favorite old movie of mine, though it doesn't have the same hard - boiled feel to it",have you seen sleeping beauty ( 2011 ) it's a classic,0,1
nice! i'm well. i enjoyed my weekend. i saw deadpool 2 ( 2018 ) with my bf. did you see it?,see you!,0,0
i do!,good bye,0,0
okay thanks!,good bye,1,1
for family movies finding dory ( 2016 ) or trolls ( 2016 )?,or insidious ( 2011 )?,1,1
thanks. goodbye.,you are welcome,1,1
what movies outs die of the romance genre do you like?,it is the best marvel film so far,0,0
i loved it ( 1990 ) and i thought the new one it ( 2017 ) was ok,hello im so bored can you help with a good movie,0,0
have you seen annihilation ( 2018 )? i would recommend it.,and it ( 1990 )?,1,0
they do say there is no bond like one between a man and his dog.,that is full of action and comedy.,1,1
what kind of movies do you like.,or daylight ( 1996 )?,0,0
hey there! can i recommend a good horror movie for you?,looking for any movie recommendations?,1,1
what kind of movies would you like to watch?,oh that sounds like one i will have to check out.,0,0
"you're welcome. have a great day, good bye.",good bye,1,1
"did o help you, or do you need more help?",lol,0,0
have you seen american pie ( 1999 )?,have you seen talladega nights : the ballad of ricky bobby ( 2006 ) or the hangover ( 2009 )?,1,1
hello! can i help you find a movie?,are you looking for a good movie to watch?,1,1
i thought so. very funny,i liked that one too!,1,1
hello. can you recommend a movie for me that you think is good?,hey there. can i recommend something to watch?,1,1
hi. how are you? can i recommend you something?,hello there. looking for some good movies?,1,1
i love ever after ( 1998 ). its an older fairy tale romance with drew barrmore,it's based on a book about a rogue shark that terrorizes a small beach community during the tourist summer season.,1,1
do you like marvel movies?,how did you like it?,1,1
creed ( 2015 ) is an awesome movie as well. i love boxing movies,it is the best marvel film so far,1,1
want any more recommendations?,great. thanks. looking for any good movies?,1,1
a quiet place ( 2018 ) is horror and no country for old men ( 2007 ) is kind of a horror thriller.,there are many of those movies any of them are really awesome,0,1
which once that i recommended would you like to watch?,or maybe grease 2 ( 1982 )?,1,1
or maybe the nice guys ( 2016 )?,or maybe grease 2 ( 1982 )?,1,1
maybe you would like highlander : endgame ( 2000 )?,it's based on 1970's in new york,0,0
did you like the scifi aspect of donnie darko ( 2001 )?,what kind of movies would you like to watch?,1,1
"oh ok. dunkirk is a war movie, so i thought that's what you were looking for.",i want to share movies to you,0,0
have you seen batman ( 1989 ),have you seen avengers : infinity war ( 2018 ),1,1
"no problem, bye",lol,1,1
i have never seen either of those movies. do you like comedies like the waterboy ( 1998 ) or something like black sheep ( 1996 ).,"i like action, comedy, and thrillers mostly. what about you?",1,0
okay i have to check it out,give me one moment!,0,0
hello,is there anything else i can help you with?,0,0
i saw a movie a few years ago brooklyn ( 2015 ) that i have been telling everyone about.,i love a good steven king movie,0,0
"seth rogan is in it, danny mcbride","yes, i highly suggest pineapple express ( 2008 )!",0,0
hello there. looking for a good movie?,hi how can i help you find a movie?,1,1
"i like bruce willis in a lot of movies, especially in die hard ( 1988 )",it is very creepy and dark but full of suspense,1,1
i could enjoy it too.,i haven ‚ ao√n√¥t seen blade runner,0,0
"also, halloween ( 1978 ) is a classic. it's the best horror movie.",i haven ‚ ao√n√¥t seen blade runner,0,0
thank you.,what about spider - man : homecoming ( 2017 ),0,0
and it ( 1990 )?,hi how can i help you find a movie?,0,0
birdman ( 2014 ) and the new rbg ( 2018 ) documentary for sure.,did you watch click ( 2006 )?,0,0
thank you.,hello,1,1
i havent seen either,no i havent seen the new one,1,1
have you seen jack reacher ( 2012 )?,have you see the blues brothers ( 1980 ) or rush hour ( 1998 )?,1,1
you may like rush hour ( 1998 ).,have you seen kiss kiss bang bang ( 2005 ),0,0
i also enjoy classic horror movies like a nightmare on elm street ( 1984 ) and a nightmare on elm street 2 : freddy's revenge ( 1985 ),one of my favorites from him is the astronaut's wife ( 1999 ),1,1
i could recommend you too american pie 2 ( 2001 ),have you seen annihilation ( 2018 )? i would recommend it.,0,0
looking for a good movie?,but that is a scary one,0,0
"no problem, bye",are you looking for a movie to watch?,0,0
"so, what would you like to watch?",may i reccomend some comedies such as kingpin ( 1996 ) or superbad ( 2007 )?,1,1
have you seen girls trip ( 2017 ),"there's something about mary ( 1998 ) ething about mary is a great movie, very funny. have you seen the wedding singer ( 1998 )?",1,1
lol,"no problem, enjoy and goodbye",0,1
i really like captain america : civil war ( 2016 ) also,i've seen click ( 2006 ) but i don't like it as much as his older movies.,1,1
"great, anytime!",good bye,1,1
or maybe first sunday ( 2008 )?,or beauty and the beast ( 2017 )?,1,1
looking for any good movies?,looking for a good movie?,1,1
or insidious ( 2011 )?,or daylight ( 1996 )?,1,1
aldo titanic ( 2012 ) is great. what movies do you like,what kind of movie are you looking for now?,1,1
no : ( i haven ‚ ao√n√¥t watched any in a supe long time,no i haven't.,1,1
i agree it was more intense then it ( 1988 ),yes that was a great movie.,1,1
hey,"hi, how can i help?",0,0
yeh spiderman is a great movie,do you like scary,0,0
hello there. looking for a good movie?,i haven't seen thor : ragnarok ( 2017 ).,0,0
does this help you find a movie to watch?,no i have not seen that movie.,0,0
or maybe grease 2 ( 1982 )?,"i have, and if you like psychological thrillers like that, might i recommend mama ( 2013 )?",1,1
i did. it was great.,hey,0,0
"no, bruce willis!",can i help you with a movie,0,0
have you ever seen the conjuring ( 2013 ),have you seen the new movies avengers : infinity war ( 2018 ) or isle of dogs ( 2018 )?,1,1
can i help you find a movie?,hello there. looking for a good movie?,1,1
is there anything else i can help you with?,no i have not seen that one either. i guess i have a few to look into. i really liked annabelle ( 2014 ) though.,0,0
hello,your welcome,1,1
have you seen talladega nights : the ballad of ricky bobby ( 2006 ) or the hangover ( 2009 )?,i thought so. very funny,0,0
creed ( 2015 ) is an awesome movie as well. i love boxing movies,is there anything else i can help you with?,0,0
did you watch avengers : infinity war ( 2018 )?,let me think..,0,0
"i'm great thanks, what kind of movies do you like?",or maybe grease 2 ( 1982 )?,0,1
have you seen fifty shades of grey ( 2015 ),i haven't seen that one,0,0
whats that?,that is very scary,0,0
me what kind of movies do you like?,you should try them,0,0
i am not sure that i know many musicals. i have never seen les mis ‚ ao¬©rables ( 2012 ).,you're welcome!,0,0
i hope this has helped?,may i reccomend some comedies such as kingpin ( 1996 ) or superbad ( 2007 )?,1,1
or maybe sex and zen ( 1991 )?,"i like bruce willis in a lot of movies, especially in die hard ( 1988 )",0,0
what genre of movie do you like?,well that one definitely isn't funny. how about black sheep ( 1996 ) or another classic uncle buck,1,0
great! what type of movies do you like?,what kind of movies do you like?,1,1
would you like some more suggestions?,i ‚ ao√n√¥m well. looking for a good movie?,1,1
"ok, have you seen get out ( 2017 )?",have you seen the new movies avengers : infinity war ( 2018 ) or isle of dogs ( 2018 )?,1,1
you are welcome,also back to the future ( 1985 ) is a classic sci - fi movie.,0,0
would you like a movie recommendation?,oh okay. let me think...,0,0
what kind of movies do you like? i love horrors!,i could recommend you american pie ( 1999 ),0,0
you're welcome.,thank you! have a great day good bye.,1,1
"its about a guy who wants to be with this girl, but in order to do so he must fight her 7 exes. and then he meets them and fights them like, pokemon style, or mortal combat style",need some good movie?,0,0
all of your examples were female leads,no the only marvel movie i have seen was avengers : infinity war ( 2018 ).,0,0
do you like pineapple express ( 2008 )?,and coco ( 2017 )?,0,1
goodbye!,a whole bunch of comedic actors are in it,0,0
"they are great movies, have you seen american gangster ( 2007 )",can i help you,0,0
hello,goodbye,1,1
also back to the future ( 1985 ) is a classic sci - fi movie.,"wonderful, i just seen this awesome movie call avengers : infinity war ( 2018 ), have you seen it?",0,0
how about house of 1000 corpses ( 2003 ),do you like scary,1,1
tell me what kind of movie do you like?,you like?,1,1
"me too, bye",i liked that one too!,1,1
"there's something about mary ( 1998 ) ething about mary is a great movie, very funny. have you seen the wedding singer ( 1998 )?",have you seen avengers : infinity war ( 2018 ),1,1
great. goodbye.,hello,1,1
get out ( 2017 ) was so good.,even though i would rather the old one,1,1
tell me what kind of movies would you like to watch?,"no, bruce willis!",0,0
a quiet place ( 2018 ) is horror and no country for old men ( 2007 ) is kind of a horror thriller.,you're welcome.,0,0
what type of movies do you like?,what kind of movies do you like?,1,1
want any more recommendations?,hi i'm good. are you looking for a movie?,1,1
may i suggest a movie for you?,hello there. looking for a good movie?,1,1
have you ever seen american pie ( 1999 )?,well have you seen the avengers ( 2012 )?,1,1
"wonderful, i just seen this awesome movie call avengers : infinity war ( 2018 ), have you seen it?",or truth or dare ( 2013 )?,0,1
all of your examples were female leads,have you seen kiss kiss bang bang ( 2005 ),0,0
"yeah, i liked it too",it is my pleasure can help you,0,0
"thank you, good bye.",hi,1,1
"i like bruce willis in a lot of movies, especially in die hard ( 1988 )","i am well, looking for a good movie?",0,0
goodbye!,"well, i hope i have helped",1,1
i saw peter rabbit ( 2018 ) with my daughter she loved it,i just watched avengers : infinity war ( 2018 ),1,0
have you seen raiders of the lost ark ( 1981 )? that is a classic.,i can tell you to watch click ( 2006 ),0,0
your very welcome!,goodbye,1,1
i wonder if you have seen any of the movies i suggested?,have you seen talladega nights : the ballad of ricky bobby ( 2006 ) or the hangover ( 2009 )?,1,1
not as old but airplane! ( 1980 ) i would consider a semi classic.,i hope i have helped,1,1
good bye,hi i am good,1,1
"scary movie is funny, i liked it a lot",i will watch it soon,0,0
anything else,how can i help you today?,1,1
does this help you find a movie to watch?,i hope you have something here you can use?,1,1
and did you watch you don't mess with the zohan ( 2008 )?,or arrival ( 2016 )?,0,1
even if you are nt a fan of sci fi,goodbye,0,0
yes that is great.,good bye,1,1
have you seen american pie ( 1999 )?,have you seen little miss sunshine ( 2006 )?,1,1
"its about a guy who wants to be with this girl, but in order to do so he must fight her 7 exes. and then he meets them and fights them like, pokemon style, or mortal combat style",maybe pitch perfect 3 ( 2017 )?,0,0
yeah thats a good one.,i'm well! having a good start to the day!,0,0
hi - need a good movie reco?,i'll check out groundhog day ( 1993 ) and american pie ( 1999 ) sometimes,0,0
im a movie expert!,i saw peter rabbit ( 2018 ) with my daughter she loved it,0,0
i will add it to the netflix que. thank you!,you should try those,1,1
thank you!,hi,1,1
have you seen 21 jump street ( 2012 )? i thought that was a pretty funny movie,did you watch it ( 2017 )?,1,1
i wonder if you have seen any of the movies i suggested?,did you watch it ( 2017 )?,1,1
what about last year's the house ( 2017 )?,have you ever seen scary movie ( 2000 )?,1,1
"good afternoon! i'm good, i hope you are well! are you looking for a movie suggestion?",have you seen sleeping beauty ( 2011 ) it's a classic,0,0
i havent even heard of that one,excellent! i hope you enjoy,0,0
its the ultimate classic,i do!,0,1
i want to share movies to you,not as old but airplane! ( 1980 ) i would consider a semi classic.,0,0
what kind of movies do you like?,"haven ‚ ao√n√¥t seen rear window, perhaps i ‚ ao√n√¥ll check it out",0,0
how about house of 1000 corpses ( 2003 ),hi there are you interested in some classic comedies?,0,1
"i have, and if you like psychological thrillers like that, might i recommend mama ( 2013 )?",i can tell you to watch click ( 2006 ),0,1
we had to watch it for school,tell me what would you like to watch?,0,0
lol,hi i'm good. are you looking for a movie?,0,1
yeh that's the one she is a great actress,"hahahaa, those are old movies but if you see them again you laugh so much",1,1
"yes you do, maybe even too much.",i loved that movie too.,1,1
hello,"in key largo ( 1948 ) humphrey bogart's character clashes with mobsters in a florida resort town, and falls in love with lauren bacall along the way",0,0
"me neither haha, i hope i have helped you",click ( 2010 ) was good,0,0
i like the movie get out,i hope i have helped,1,1
hey there. i'm doing well. can i recommend a movie for you?,hey there. can i recommend a movie for you?,1,1
do you think you'd like the new jurassic world ( 2015 )?,"there's something about mary ( 1998 ) ething about mary is a great movie, very funny. have you seen the wedding singer ( 1998 )?",0,0
great. thanks. looking for any good movies?,for family movies finding dory ( 2016 ) or trolls ( 2016 )?,0,0
have you seen sleeping beauty ( 2011 ) it's a classic,have you ever seen you don't mess with the zohan ( 2008 )?,1,1
"awesome, see you later.",hi,1,1
yeah those are great movies,yes! me too! i wound up liking ant - man ( 2015 ) more than i thought i would!,1,1
same here,your welcome,0,0
would like to know a comedy or something more serious like the godfather ( 1991 )?,spotlight ( 2015 ) was awesome. i highly recommend it!,0,0
me too!!! i ‚ ao√n√¥m excited to watch it!,good morning. have any plans for the weekend?,0,0
a quiet place ( 2018 ) is horror and no country for old men ( 2007 ) is kind of a horror thriller.,"seth rogan is in it, danny mcbride",1,1
"awesome, have you tried the new beauty and the beast ( 2017 )",those movies are made by adan sandler even though click ( 2006 ) is better than the another one,0,0
have you seen avengers : infinity war ( 2018 ),also back to the future ( 1985 ) is a classic sci - fi movie.,0,0
i have some movies to recommend to you!,oh okay. let me think...,1,1
do you need some movie to watch tonight?,looking for a good movie?,1,1
whats that?,have you seen raiders of the lost ark ( 1981 )? that is a classic.,1,0
hello can you tell me what kind of movies you like best?,"hey there, can i recommend a movie for you?",0,0
i grew up watching a nightmare on elm street ( 1984 ) and friday the 13th ( 1980 ).,i want to see the new ant - man and the wasp ( 2018 ),0,0
well how about wonder woman ( 2017 ).,are you looking for something older or newer?,1,1
how about the wedding singer ( 1998 ),what kind of movies do you like? i love horrors!,1,0
great. goodbye.,you too,1,1
i grew up watching a nightmare on elm street ( 1984 ) and friday the 13th ( 1980 ).,yes i seen hellboy!,1,1
yes! i cant remember his name.,i am here to help1,0,0
have you seen batman ( 1989 ),do you need help finding a movie?,0,0
did you like the scifi aspect of donnie darko ( 2001 )?,are you looking for a movie?,0,0
hello,ok,1,1
"thank you too. you have a great day, good bye.",i am not a horror film fanatic but i will watch it.,0,1
perfect! me too!,yes of course,0,0
i saw peter rabbit ( 2018 ) with my daughter she loved it,hello there. looking for a good movie?,0,0
would you like a movie recommendation?,can i help you find a good movie tonight?,1,1
hello. have you seen jaws ( 1975 ),no not seen it.,0,0
it is very creepy and dark but full of suspense,i really love chris farley's movies tommy boy ( 1995 ) is an all time favorite,1,1
can i help you find a good movie tonight?,how about the sixth sense?,0,0
it's one of the best movies ever made.,"hi there. i would like to suggest some comedies you could watch, have you seen the wedding singer ( 1998 )?",0,0
what kind of movies do you like.,haven ‚ ao√n√¥t seen that one,0,0
hey there. i'm doing well. can i recommend a movie for you?,what was the last movie you saw?,0,0
there is fargo ( 1996 ) have you seen it?,"oh, you like scary movies?",0,0
i can tell you to watch click ( 2006 ),i really enjoy movies like the avengers ( 2012 ) and iron man ( 2008 ). recently we watched spider - man : homecoming ( 2017 ) and it was great!,0,1
thanks!,hey there!,1,1
not as old but airplane! ( 1980 ) i would consider a semi classic.,i've seen click ( 2006 ) but i don't like it as much as his older movies.,1,1
"likewise, alpacino is great.",i seriously slept through captain america : civil war ( 2016 ) both times i watched it.,0,0
hello! i'm good. how are you? are you looking for a movie suggestion?,can i help you with a movie,1,1
excellent! i hope you enjoy,you should try them,1,1
do you like marvel movies?,me too love comedy,0,0
goodbye!,click ( 2006 ) it is made by adan sandler,0,0
so you like action?,well have you seen the avengers ( 2012 )?,0,0
do you mind if i ask you some questions first?,looking for a good movie?,1,1
it's on my list of favorites.,but i should check it out,1,1
ok.. if it is the story of survival that you liked,is there anything else i can help you with?,0,0
hi i am good,hey,1,1
ok,maybe action movies like hot fuzz ( 2007 )?,0,0
like billy madison ( 1995 )?,would like to know a comedy or something more serious like the godfather ( 1991 )?,1,1
do you not like scary movies?,"haven ‚ ao√n√¥t seen rear window, perhaps i ‚ ao√n√¥ll check it out",0,0
there's a pbs channel with great documentaries.,i love ever after ( 1998 ). its an older fairy tale romance with drew barrmore,1,1
hello! are you looking for a movie suggestion?,hello there. looking for a good movie?,1,1
me too love comedy,"yeah, me too. laughter is the best medicine!",1,1
did you watch it ( 2017 )?,i cant wait to see it.,0,0
do you need help finding a movie?,"well basically all the avengers get together for a common goal, i really liked it. i am, what about you?",0,0
"i did! it was funny. oh yes, i liked the old deadpool ( 2016 ) too!",would you like a movie recommendation?,0,0
that's is very interesting and funny,how about the sixth sense?,0,0
i cant wait!,have you ever seen the conjuring ( 2013 )?,0,0
good bye,i also would recommend you american pie 2 ( 2001 ),0,0
"good afternoon! i'm good, i hope you are well! are you looking for a movie suggestion?",or dodgeball : a true underdog story ( 2004 )?,0,0
what about spider - man : homecoming ( 2017 )?,have you seen both of those movies?,1,1
do you need my help,need some movies?,1,1
me what kind of movies do you like?,tell me what would you like to watch?,0,1
hello! are you looking for a movie suggestion?,may i suggest a movie for you?,1,1
hello,"thank you, good bye.",1,1
"okay, let me think...",tell me what kind of movies do you like?,0,0
yes,what genre of movie do you like?,0,0
chris rock. he dies by accident and comes back in someone else body.,hey there. could i recommend a movie for you?,0,0
hello,hey,1,1
"great, anytime!","thank you for the chat, goodbye.",1,1
"those are really funny, have you seen them?",have you seen avengers : infinity war ( 2018 ),1,1
how about the wedding singer ( 1998 ),you like?,1,1
have you seen lethal weapon ( 1987 ),"hi there. i would like to suggest some comedies you could watch, have you seen the wedding singer ( 1998 )?",1,1
your welcome,okay i have to check it out,0,0
have you seen avengers : infinity war ( 2018 ),good bye,0,0
like billy madison ( 1995 )?,for family movies finding dory ( 2016 ) or trolls ( 2016 )?,1,1
can i help you find a movie?,can i help you with a movie,1,1
yeh spiderman is a great movie,i like old school horror movies like a nightmare on elm street ( 1984 ) have you ever seen this one?,0,0
"hi there. i would like to suggest some comedies you could watch, have you seen the wedding singer ( 1998 )?",what other types of movies do you like?,0,0
"thank you, good bye",i never even heard of it,0,0
what kinds of movies have you liked before with this group of friends?,great! what kind of movies do you like?,1,1
"me, too!",i like the same as you,1,1
you are welcome,"no problem! thank you, too! : )",1,1
is there anything else i can help you with?,hey there. can i recommend a movie for you?,1,1
its sort of comic book / video game style movie,a whole bunch of comedic actors are in it,1,1
hello,bye!,1,1
live free or die hard ( 2007 ) is another they try to kill him agian,i grew up watching a nightmare on elm street ( 1984 ) and friday the 13th ( 1980 ).,0,0
yes i have,hello,1,1
yes that was amazing too!,i liked that one too!,1,1
so funny and just ridiculous.,it is the best marvel film so far,1,1
"a classic that i recommend is the movie the graduate, the soudtrank i liked a lot",yeh spiderman is a great movie,1,1
have you seen kill bill?,enjoy them,0,0
need help finding a good movie?,i watched it too.,0,0
hey there. i'm doing well. can i recommend a movie for you?,can i help you,1,1
mainly because johnny depp is in it,those movies are made by adan sandler even though click ( 2006 ) is better than the another one,1,1
that is very scary,click ( 2010 ) was good,1,1
can i recommend this is the end ( 2013 )?,good bye,0,0
"thank you for the chat, goodbye.","well, i hope i have helped",1,1
"ok, i will have to check it out.",whats that?,0,0
i watched it the other night. i forgot how much i liked it!,no : ( i haven ‚ ao√n√¥t watched any in a supe long time,1,1
is that enough family friendly and adventure films for you?,i love mob movies. if you haven't seen gangs of new york ( 2002 ) you should give it a peek,0,0
what genre of movie do you like?,"i like action, comedy, and thrillers mostly. what about you?",1,1
great. thanks. looking for any good movies?,what movies outs die of the romance genre do you like?,0,0
hello looking for a funny movie any suggestions?,i liked it too,0,0
you are welcome,hello,1,1
you might love deadpool ( 2016 )!,was i able to help you tonight?,0,0
hello,bye,1,1
hello! can i help you find a movie?,you have plans tonight?,1,1
for me the best fantsy is the lord of the rings,click ( 2010 ) was good,1,1
thank you.,maybe 12 angry men ( 1957 ) and the dark knight ( 2008 )?,0,0
"so, did you watch it ( 2017 )?",looking for a good movie?,0,0
it really portrays how the majority of america really is,i want to see it. i heard good things.,0,0
have you seen kiss kiss bang bang ( 2005 ),what kind of movies can i help you with tonight?,0,0
hello,good bye,1,1
yes very true,have you seen little miss sunshine ( 2006 )?,0,0
"i liked it too, it was very interesting","yeah, i think that's one of the best i have ever seen",1,1
can i help you with a movie,great! what kind of movies do you like?,0,0
hello,there are many of those movies any of them are really awesome,0,0
live free or die hard ( 2007 ) is another they try to kill him agian,do your friends also like scary movies?,0,0
no not seen it.,i seriously slept through captain america : civil war ( 2016 ) both times i watched it.,1,1
same here,i do!,1,1
"great, anytime!",great. goodbye.,1,1
well you seem to be a stephen king expert,or maybe you are into more slick comedy like fifty shades of black ( 2016 ),1,1
yes i have,hello,1,1
or maybe avengers : infinity war ( 2018 )?,but you've probably already seen that..,0,0
no not seen it.,yes i seen hellboy!,1,1
which once that i recommended would you like to watch?,that's funny too.,0,0
i'm well! having a good start to the day!,"hello, sure i will.",1,1
have you seen little miss sunshine ( 2006 )?,oh that sounds like one i will have to check out.,0,0
hi how can i help you find a movie?,it's with daniel radcliffe where he is like a reanimated corpse and he helps a guy stranded on an island. it's wacky.,0,0
your welcome,bye!,1,1
anything else,"i am well, looking for a good movie?",1,1
good bye,"thank you, good bye.",1,1
how did you like it?,what kind of movies do you like?,1,1
empire of the ants ( 1977 ) freaked me out as a child,yes that was a great movie.,0,0
hello,i enjoyed house at the end of the street ( 2012 ) but have not seen the last house on the left ( 2009 ) or the last house on the left ( 1972 ).,0,0
your welcome,it is about batman and the joker,0,0
no : ( i haven ‚ ao√n√¥t watched any in a supe long time,i have not seen peter rabbit ( 2018 ) i will have to add that one to my must watch list.,0,0
and did you watch you don't mess with the zohan ( 2008 )?,have you seen girls trip ( 2017 ),1,1
it's with daniel radcliffe where he is like a reanimated corpse and he helps a guy stranded on an island. it's wacky.,how about maid in manhattan,0,0
we are a big fan of spaceballs ( 1987 ) and blazing saddles ( 1974 ) in my house. a bit older like the two you mentioned and super funny. i just love mel brooks,it's one of the best movies ever made.,1,1
"oh ok. dunkirk is a war movie, so i thought that's what you were looking for.","ok, i will have to check it out.",0,0
bye!,it is action packed with great fight scenes.,0,0
i really haven ‚ ao√n√¥t seen any recent one at lately,we had to watch it for school,1,1
"i haven't seen it yet, but my friend liked it.",no but i grew up watching it!,1,1
somthing like the godfather ( 1972 )?,or super troopers 2 ( 2018 )?,1,1
i love napoleon dynamite,i am not sure that i know many musicals. i have never seen les mis ‚ ao¬©rables ( 2012 ).,0,0
hello! can i help you find a movie?,haven ‚ ao√n√¥t seen that one,0,0
goodbye!,what genre of movie do you like?,0,0
or zack and miri make a porno ( 2008 )?,what other types of movies do you like?,0,1
need some good movie?,empire of the ants ( 1977 ) freaked me out as a child,0,0
yeah thats a good one.,i do!,1,1
"its about a guy who wants to be with this girl, but in order to do so he must fight her 7 exes. and then he meets them and fights them like, pokemon style, or mortal combat style",what kind of movie genres do you like,0,0
i haven ‚ ao√n√¥t seen blade runner,if bro and tell me what else can i help you...,0,0
did you watch avengers : infinity war ( 2018 )?,have you seen avengers : infinity war ( 2018 ),1,1
i enjoyed house at the end of the street ( 2012 ) but have not seen the last house on the left ( 2009 ) or the last house on the left ( 1972 ).,i have not seen taht movie,1,1
hello,let me think..,0,0
how about the wedding singer ( 1998 ),tell what kind of movie would you like to watch?,1,1
yes very true,i've never seen fear ( 1990 ). even though it's more 80s you might like heathers ( 1988 ) if you liked cruel intentions ( 1999 ).,0,0
"hi, how can i help?",do you need help finding a movie?,1,1
have you seen avengers : age of ultron ( 2015 ),"seth rogan is in it, danny mcbride",0,0
yeah those are great movies,well i could imagine if you are a fan of the older ones and if you like movies like aliens ( 1986 ) then star wars : episode viii ‚ ao√n√¨ the last jedi ( 2017 ) maybe not your type of movie.,0,1
what was the last movie you saw?,and the mask ( 1988 )?,1,1
do you need my help,do you mind if i ask you some questions first?,1,1
what kind of movies do you like? i love horrors!,did you like the scifi aspect of donnie darko ( 2001 )?,1,1
is that enough family friendly and adventure films for you?,it is very creepy and dark but full of suspense,0,0
hello can you tell me what kind of movies you like best?,what kind of movies do you like?,1,1
"thank you too. you have a great day, good bye.","awesome, see you later.",1,1
"wonderful, i just seen this awesome movie call avengers : infinity war ( 2018 ), have you seen it?",have you seen avengers : infinity war ( 2018 )?,1,1
no not seen it.,"i haven't seen it yet, but my friend liked it.",1,1
have you ever seen the conjuring ( 2013 ),have you ever seen click ( 2006 )?,1,1
how can i help you today?,is there anything else i can help you with?,1,1
i am not sure that i know many musicals. i have never seen les mis ‚ ao¬©rables ( 2012 ).,no : ( i haven ‚ ao√n√¥t watched any in a supe long time,1,1
or maybe you are into more slick comedy like fifty shades of black ( 2016 ),have you seen that at all?,0,0
so true romance ( 1993 ) is a crime movie with some romance,i agree it was more intense then it ( 1988 ),0,0
have you seen the new avengers? avengers : infinity war ( 2018 ),did you watch it ( 2017 )?,1,1
excellent! i hope you enjoy,"good afternoon! i'm good, i hope you are well! are you looking for a movie suggestion?",0,0
"hi, can i help you find a movie?",do you need help finding a movie?,1,1
for an interesting action movie maybe michael clayton ( 2007 )?,or insidious ( 2011 )?,1,1
yes that is great.,hi,1,1
can i help you with a movie,i grew up watching a nightmare on elm street ( 1984 ) and friday the 13th ( 1980 ).,0,0
"did o help you, or do you need more help?",would you like some more suggestions?,1,1
"oh for sure, it is a great movie and mark wahlberg is a stud. have you ever seen boogie nights ( 1997 )?",what kind of movies do you like,0,0
"awesome, have you tried the new beauty and the beast ( 2017 )",tell what kind of movie would you like to watch?,0,1
only a few jump scares,i saw a movie a few years ago brooklyn ( 2015 ) that i have been telling everyone about.,0,1
looking for any movie recommendations?,do you need my help,1,1
are you looking for something older or newer?,what kind of movies would you like to watch?,1,1
"well, i hope i have helped",what about spider - man : homecoming ( 2017 )?,0,0
hello there. looking for a good movie?,"hi, how can i help?",1,1
great. goodbye.,thank you.,1,1
okay i have to check it out,both are excellent movies. if you are looking for something a little lighter..,0,0
have you seen lethal weapon ( 1987 ),i saw a movie a few years ago brooklyn ( 2015 ) that i have been telling everyone about.,0,0
"seth rogan is in it, danny mcbride",like billy madison ( 1995 )?,0,0
you if youre a fan of seth rogen haha.,"yes, what types of movies are you interested in?",0,0
"likewise, alpacino is great.",that's is very interesting and funny,1,1
you have plans tonight?,perfect! me too!,0,0
thanks!,bye!,1,1
yes!,bye!,1,0
i thought so. very funny,yes that was a great movie.,1,1
that's really good,thanks. goodbye.,1,1
thank you!,"no problem! thank you, too! : )",1,1
"no problem, bye",hello,1,1
"haven ‚ ao√n√¥t seen rear window, perhaps i ‚ ao√n√¥ll check it out",i really like captain america : civil war ( 2016 ) also,0,1
hi are you looking for a movie,can i help you,1,1
what kinds of movies have you liked before with this group of friends?,"yes, avengers is good",0,0
would you like some more suggestions?,hey there. can i recommend a movie for you?,1,1
yes i seen it 3 time!,i am not sure that i know many musicals. i have never seen les mis ‚ ao¬©rables ( 2012 ).,1,1
"yes, what types of movies are you interested in?","so, did you watch it ( 2017 )?",0,0
hi there are you interested in some classic comedies?,maybe 12 angry men ( 1957 ) and the dark knight ( 2008 )?,1,1
did you watch it ( 2017 )?,creed ( 2015 ) is an awesome movie as well. i love boxing movies,0,0
nice me too,"i have, and if you like psychological thrillers like that, might i recommend mama ( 2013 )?",0,0
yes that was amazing too!,would you like a movie recommendation?,0,0
i watched it too.,i do!,1,0
great! goodbye.,yes i have,1,1
i havent even heard of that one,no the only marvel movie i have seen was avengers : infinity war ( 2018 ).,1,1
there's a pbs channel with great documentaries.,hello. have you seen jaws ( 1975 ),0,0
but i should check it out,looking for a good movie?,0,0
yes! i love beetlejuice ( 1988 ) too.,can i recommend this is the end ( 2013 )?,0,0
i haven ‚ ao√n√¥t seen blade runner,your very welcome!,0,0
"thank you, good bye",ok have you seen seabiscuit ( 2003 ),0,0
do you not like scary movies?,"yes, avengers is good",0,0
"i am good as well, thanks. how can i help you today?",would you like a movie recommendation?,1,1
thanks!,yes,1,1
i watched it too.,me too!!!!,1,1
it's one of the best movies ever made.,"sure! i like comedies a lot. i like movies like hot tub time machine and super troopers ( 2001 ), but i also like identity thief ( 2013 ) and the heat ( 2013 ).",1,1
i am not a horror film fanatic but i will watch it.,i cant wait to see it.,1,1
"thank you too. you have a great day, good bye.",have you ever seen american pie ( 1999 )?,0,0
thank you.,"awesome, see you later.",1,1
would the boy ( 2016 ) be a good horror choice?,there is fargo ( 1996 ) have you seen it?,0,0
im fine thanks!,hello,1,1
what movies outs die of the romance genre do you like?,hello,0,0
i liked that one too!,do you mind if i ask you some questions first?,0,0
